School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Detroit Mercy,2020-2021,22,12,10,0.545,-3.66,-6.21,,10,6,,7,5,,5,5,,1683,1627,,68.2,107.8,0.224,0.425,0.561,50.9,62.1,8.0,8.3,0.541,16.1,28.9,0.159
Drake NCAA,2020-2021,31,26,5,0.839,9.42,-0.48,,15,3,,14,1,,9,2,,2354,1999,,66.8,95.8,0.288,0.360,0.512,46.3,46.3,8.1,7.6,0.478,16.7,24.9,0.207
Drexel NCAA,2020-2021,20,12,8,0.600,-0.97,-3.92,,4,5,,3,2,,4,5,,1407,1348,,66.0,102.1,0.264,0.330,0.533,46.8,42.5,9.3,8.9,0.501,14.2,23.9,0.197
Duke,2020-2021,24,13,11,0.542,13.04,8.33,,9,9,,8,5,,3,6,,1824,1711,,69.1,102.1,0.319,0.323,0.543,48.7,48.8,9.1,10.2,0.513,17.4,28.9,0.225
Duquesne,2020-2021,18,9,9,0.500,2.32,2.49,,7,7,,5,2,,2,5,,1205,1208,,68.4,98.2,0.355,0.391,0.511,49.8,56.9,9.9,8.5,0.473,16.9,30.1,0.249
East Carolina,2020-2021,19,8,11,0.421,1.00,3.83,,2,10,,7,6,,1,4,,1269,1291,,68.9,97.9,0.376,0.425,0.531,51.0,56.1,9.6,8.3,0.492,18.5,27.3,0.267
East Tennessee State,2020-2021,25,13,12,0.520,1.65,0.30,,8,7,,8,4,,3,5,,1736,1654,,67.6,97.4,0.313,0.450,0.525,47.8,56.0,9.5,9.2,0.495,17.9,25.7,0.217
Eastern Illinois,2020-2021,27,9,18,0.333,-12.71,-7.19,,6,14,,5,7,,4,11,,1874,2023,,70.2,105.3,0.310,0.373,0.551,51.1,55.4,10.4,7.6,0.519,16.4,29.5,0.226
Eastern Kentucky,2020-2021,29,22,7,0.759,-2.68,-8.24,,15,5,,10,2,,9,4,,2372,2137,,76.2,95.1,0.315,0.357,0.536,52.5,57.4,8.0,6.9,0.502,21.8,29.6,0.228
Eastern Michigan,2020-2021,18,6,12,0.333,-14.23,-1.23,,3,11,,5,4,,1,8,,1267,1362,,71.4,106.0,0.254,0.430,0.575,53.3,63.2,8.4,6.2,0.559,19.0,29.3,0.171
Eastern Washington NCAA,2020-2021,24,16,8,0.667,4.03,-3.15,,12,3,,7,2,,6,5,,1879,1690,,71.8,98.0,0.271,0.358,0.506,49.3,45.1,8.0,6.2,0.473,14.3,25.5,0.196
Elon,2020-2021,19,10,9,0.526,-5.32,-4.43,,4,7,,4,2,,3,6,,1249,1235,,66.8,97.3,0.408,0.411,0.525,49.3,43.9,9.4,10.2,0.493,16.7,21.9,0.268
Evansville,2020-2021,25,9,16,0.360,-4.85,-0.01,,7,11,,8,4,,1,10,,1619,1740,,62.4,110.0,0.343,0.292,0.596,54.4,43.4,8.2,8.5,0.574,16.5,24.1,0.239
Fairfield,2020-2021,27,10,17,0.370,-11.46,-6.57,,7,11,,4,8,,3,8,,1668,1800,,65.2,101.2,0.307,0.334,0.518,49.4,49.8,9.3,10.0,0.491,14.3,26.6,0.204
FDU,2020-2021,24,9,15,0.375,-10.17,-6.46,,8,10,,4,6,,5,9,,1801,1890,,71.9,108.3,0.339,0.385,0.557,52.2,58.4,9.6,8.7,0.530,16.6,33.1,0.234
Florida NCAA,2020-2021,25,15,10,0.600,13.70,9.82,,9,7,,6,3,,5,5,,1854,1757,,70.6,99.1,0.351,0.362,0.516,48.5,51.3,10.7,8.9,0.478,17.3,30.2,0.249
Florida A&M,2020-2021,20,8,12,0.400,-12.35,-9.55,,7,5,,4,1,,4,10,,1314,1370,,70.9,96.6,0.339,0.363,0.508,50.1,48.2,10.4,6.4,0.479,18.4,31.8,0.222
Florida Atlantic,2020-2021,23,13,10,0.565,-2.05,-4.94,,7,5,,7,1,,4,7,,1796,1537,,70.7,94.1,0.347,0.365,0.512,44.6,44.8,7.7,7.3,0.476,17.9,23.1,0.241
Florida Gulf Coast,2020-2021,18,10,8,0.556,-9.63,-7.13,,4,5,,7,4,,2,2,,1292,1242,,72.5,95.2,0.255,0.374,0.506,49.1,46.2,9.8,10.0,0.479,17.5,27.9,0.175
Florida International,2020-2021,26,9,17,0.346,-11.20,-3.24,,2,15,,7,8,,2,9,,1914,1985,,72.8,103.4,0.329,0.317,0.559,54.0,46.2,9.5,9.1,0.529,19.5,32.4,0.235
Florida State NCAA,2020-2021,25,18,7,0.720,17.12,9.16,,11,4,,12,1,,3,4,,1929,1730,,70.0,97.8,0.352,0.395,0.506,47.4,51.4,9.8,7.3,0.461,16.8,31.0,0.258
Fordham,2020-2021,14,2,12,0.143,-11.69,3.09,,2,11,,2,5,,0,6,,725,932,,64.2,103.7,0.278,0.478,0.540,56.5,65.4,10.6,8.8,0.515,16.7,30.4,0.191
Fresno State,2020-2021,24,12,12,0.500,-3.57,0.07,,9,11,,7,5,,4,6,,1591,1618,,66.9,100.3,0.322,0.383,0.536,47.6,46.6,9.9,9.6,0.500,17.2,25.3,0.236
Furman,2020-2021,25,16,9,0.640,5.99,-1.69,,10,5,,11,1,,5,7,,1990,1723,,70.9,96.8,0.294,0.388,0.525,48.4,51.3,10.1,8.7,0.504,18.4,25.8,0.189
Gardner-Webb,2020-2021,26,11,15,0.423,-3.87,-6.14,,10,10,,7,4,,4,11,,1837,1778,,67.0,102.1,0.365,0.407,0.528,50.5,55.9,8.2,10.0,0.486,15.9,28.1,0.267
George Mason,2020-2021,22,13,9,0.591,1.91,0.48,,8,6,,7,3,,3,4,,1569,1538,,69.2,98.2,0.282,0.358,0.532,48.1,44.3,9.2,6.6,0.501,17.7,24.3,0.204
George Washington,2020-2021,17,5,12,0.294,-5.75,-1.57,,3,5,,3,6,,1,5,,1158,1229,,68.9,104.2,0.250,0.365,0.531,50.7,54.4,10.3,10.1,0.510,14.6,28.5,0.168
Georgetown NCAA,2020-2021,26,13,13,0.500,10.13,10.36,,7,9,,7,6,,2,6,,1857,1863,,70.4,101.3,0.259,0.398,0.516,46.7,57.4,10.7,7.9,0.489,14.2,26.8,0.179
Georgia,2020-2021,26,14,12,0.538,6.62,8.02,,7,11,,12,5,,2,6,,2014,2027,,75.7,102.4,0.310,0.374,0.549,49.2,48.2,11.3,10.5,0.521,18.9,31.4,0.218
Georgia Southern,2020-2021,26,13,13,0.500,-10.22,-6.26,,7,9,,9,4,,4,8,,1860,1762,,68.4,96.3,0.305,0.391,0.524,48.1,44.4,10.2,7.8,0.492,19.6,28.2,0.216
Georgia State,2020-2021,22,16,6,0.727,-1.70,-4.60,,8,4,,9,1,,5,4,,1767,1599,,71.2,99.9,0.327,0.408,0.516,49.6,48.4,8.6,7.1,0.482,17.3,31.5,0.228
Georgia Tech NCAA,2020-2021,26,17,9,0.654,12.79,7.91,,11,6,,11,3,,4,5,,1948,1821,,67.9,100.8,0.289,0.353,0.550,53.1,55.1,7.8,7.6,0.524,19.8,30.1,0.203
Gonzaga NCAA,2020-2021,32,31,1,0.969,27.20,5.92,,15,0,,12,0,,7,0,,2911,2230,,74.6,93.1,0.257,0.337,0.505,45.0,45.5,8.1,6.8,0.477,17.3,23.1,0.181
Grambling,2020-2021,24,12,12,0.500,-14.27,-12.49,,9,6,,6,4,,5,7,,1617,1649,,72.1,94.8,0.378,0.381,0.500,51.5,62.4,10.6,11.6,0.464,17.9,30.4,0.252
Grand Canyon NCAA,2020-2021,24,17,7,0.708,5.11,-3.46,,9,3,,10,3,,5,1,,1812,1491,,68.2,91.1,0.292,0.419,0.481,43.2,46.3,8.3,5.7,0.445,15.3,22.0,0.207
Green Bay,2020-2021,25,8,17,0.320,-10.15,-5.23,,8,12,,6,6,,2,11,,1790,1913,,67.7,109.7,0.319,0.343,0.566,52.4,44.9,8.1,6.7,0.535,14.8,29.0,0.232
Hampton,2020-2021,25,11,14,0.440,-13.67,-9.27,,9,9,,5,7,,6,7,,1721,1831,,70.1,104.5,0.354,0.378,0.527,54.1,49.9,9.2,7.7,0.492,15.3,31.7,0.247
Hartford NCAA,2020-2021,24,15,9,0.625,-3.45,-4.95,,8,6,,10,1,,5,6,,1570,1534,,67.0,95.4,0.244,0.409,0.500,51.3,48.4,8.6,11.1,0.477,17.3,28.8,0.162
Hawaii,2020-2021,21,11,10,0.524,-2.98,-2.72,,9,9,,7,5,,4,4,,1503,1452,,68.4,99.3,0.280,0.303,0.525,47.3,40.7,10.1,7.7,0.493,15.5,24.5,0.204
High Point,2020-2021,24,9,15,0.375,-10.78,-7.58,,6,11,,5,5,,4,10,,1600,1677,,67.4,103.1,0.341,0.449,0.550,49.0,58.2,9.2,10.6,0.523,17.6,28.2,0.232
Hofstra,2020-2021,23,13,10,0.565,-2.77,-2.94,,8,6,,7,3,,5,6,,1683,1679,,68.9,105.4,0.258,0.381,0.541,50.0,60.4,8.5,8.8,0.511,15.1,28.9,0.192
