School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
IU Indy,32,5,27,0.156,-19.00,-5.57,,2,18,,4,9,,0,15,,2089,2456,,67.7,112.9,0.345,0.390,0.576,51.1,54.5,12.3,8.3,0.539,14.8,32.1,0.262,2022-2023
Jackson State,33,14,19,0.424,-11.36,-5.39,,12,6,,7,2,,6,14,,2232,2429,,69.8,104.2,0.339,0.394,0.556,48.9,52.3,11.2,11.1,0.522,17.0,29.2,0.247,2022-2023
Jacksonville,29,13,16,0.448,-6.19,-2.54,,6,12,,7,6,,6,10,,1837,1816,,62.0,101.0,0.253,0.485,0.514,48.2,54.8,9.5,8.7,0.484,13.6,24.8,0.185,2022-2023
Jacksonville State,31,13,18,0.419,-6.67,-2.60,,6,12,,9,5,,3,12,,2166,2178,,66.5,105.2,0.284,0.473,0.549,47.1,56.7,9.2,7.8,0.518,15.2,24.9,0.210,2022-2023
James Madison,33,22,11,0.667,4.96,-2.31,,12,6,,11,3,,8,6,,2658,2246,,72.2,92.8,0.307,0.380,0.510,47.3,47.2,9.8,8.2,0.481,19.9,27.2,0.207,2022-2023
Kansas NCAA,36,28,8,0.778,19.20,11.84,,13,5,,15,1,,7,4,,2715,2450,,70.2,96.3,0.311,0.353,0.508,49.2,46.5,8.7,7.1,0.470,17.6,28.7,0.225,2022-2023
Kansas City,32,11,21,0.344,-9.78,-3.28,,7,11,,6,8,,3,11,,2060,2199,,65.4,103.8,0.383,0.403,0.538,47.4,47.5,9.3,8.7,0.493,15.7,29.6,0.284,2022-2023
Kansas State NCAA,36,26,10,0.722,15.79,9.48,,11,7,,16,1,,4,7,,2742,2515,,70.5,97.4,0.363,0.369,0.518,49.5,56.2,10.0,10.5,0.481,18.2,30.3,0.253,2022-2023
Kennesaw State NCAA,35,26,9,0.743,0.60,-2.06,,15,3,,15,1,,10,6,,2626,2415,,69.8,97.8,0.357,0.387,0.528,49.1,47.4,9.4,8.6,0.494,18.0,26.0,0.245,2022-2023
Kent State NCAA,35,28,7,0.800,7.53,-1.22,,15,3,,15,0,,9,6,,2665,2305,,69.7,94.2,0.368,0.405,0.511,49.5,51.1,7.7,7.7,0.468,19.6,29.7,0.265,2022-2023
Kentucky NCAA,34,22,12,0.647,14.76,8.08,,12,6,,14,4,,6,4,,2532,2305,,66.8,100.8,0.299,0.355,0.523,43.3,48.2,9.0,5.2,0.486,14.7,25.1,0.222,2022-2023
La Salle,34,15,19,0.441,-2.79,-0.02,,7,11,,8,8,,5,8,,2374,2468,,68.5,104.9,0.316,0.349,0.538,50.4,50.7,8.6,11.6,0.510,15.5,30.5,0.216,2022-2023
Lafayette,34,11,23,0.324,-7.83,-4.53,,7,11,,5,7,,5,16,,2120,2232,,63.5,101.2,0.294,0.412,0.536,51.9,55.3,9.6,9.2,0.508,16.2,25.6,0.205,2022-2023
Lamar,31,9,22,0.290,-17.40,-7.65,,5,13,,6,9,,2,12,,2104,2311,,67.9,108.9,0.305,0.442,0.545,49.8,64.2,11.8,9.7,0.522,15.3,33.2,0.204,2022-2023
Lehigh,30,16,14,0.533,-9.08,-6.04,,11,7,,9,6,,7,8,,2094,2082,,69.7,99.5,0.284,0.349,0.516,51.9,47.7,8.4,8.1,0.489,14.9,25.8,0.193,2022-2023
Liberty,36,27,9,0.750,8.36,-1.91,,15,3,,19,1,,6,7,,2689,2194,,65.7,92.8,0.274,0.364,0.513,47.2,41.3,8.7,9.0,0.480,18.0,20.6,0.201,2022-2023
Lindenwood,32,11,21,0.344,-14.80,-6.35,,6,12,,9,4,,2,14,,2226,2362,,69.2,104.7,0.297,0.417,0.540,52.3,54.0,9.8,8.2,0.513,15.8,29.7,0.206,2022-2023
Lipscomb,33,20,13,0.606,-1.95,-4.02,,11,7,,13,2,,7,11,,2521,2343,,69.7,100.4,0.230,0.392,0.522,47.7,41.2,8.7,7.3,0.493,14.6,24.1,0.171,2022-2023
Little Rock,31,10,21,0.323,-12.62,-6.97,,6,12,,8,5,,2,16,,2337,2461,,72.9,108.0,0.371,0.377,0.572,50.4,52.6,8.5,8.7,0.549,17.0,29.5,0.247,2022-2023
Long Beach State,33,17,16,0.515,-0.58,-0.42,,11,9,,9,5,,6,9,,2524,2455,,72.6,99.8,0.296,0.399,0.523,46.1,55.0,10.1,6.5,0.489,16.5,27.7,0.216,2022-2023
Long Island University,29,3,26,0.103,-24.46,-6.61,,1,15,,2,10,,1,14,,1935,2319,,73.6,108.7,0.315,0.352,0.562,51.9,59.0,11.9,8.9,0.539,15.2,29.5,0.213,2022-2023
Longwood,32,20,12,0.625,-1.75,-6.35,,12,6,,12,3,,8,8,,2341,2119,,67.1,98.7,0.324,0.426,0.542,47.6,52.8,8.8,9.2,0.509,19.1,26.4,0.233,2022-2023
Louisiana NCAA,34,26,8,0.765,4.27,-0.51,,13,5,,14,0,,7,7,,2630,2362,,69.2,100.0,0.326,0.305,0.526,45.5,42.1,9.5,8.0,0.493,16.0,25.9,0.229,2022-2023
Louisiana State,33,14,19,0.424,3.32,6.44,,2,16,,10,8,,0,9,,2231,2334,,66.7,106.1,0.303,0.416,0.549,49.3,52.0,9.0,10.4,0.518,15.3,28.8,0.219,2022-2023
Louisiana Tech,33,15,18,0.455,0.10,1.90,,7,13,,9,6,,4,11,,2383,2320,,67.7,101.6,0.373,0.425,0.556,48.5,59.1,9.9,10.4,0.524,19.4,27.7,0.261,2022-2023
Louisiana-Monroe,32,11,21,0.344,-8.64,-0.57,,7,11,,7,8,,4,10,,2157,2235,,67.2,102.7,0.277,0.393,0.537,50.2,54.0,9.4,10.0,0.505,16.3,28.9,0.205,2022-2023
Louisville,32,4,28,0.125,-5.39,6.45,,2,18,,4,13,,0,11,,2046,2425,,67.0,113.0,0.306,0.397,0.569,50.8,56.1,10.4,10.3,0.541,13.2,30.0,0.221,2022-2023
Loyola (IL),31,10,21,0.323,-4.65,0.44,,4,14,,6,8,,3,8,,2089,2247,,67.0,106.9,0.375,0.381,0.559,51.2,51.2,11.8,9.9,0.516,15.8,28.5,0.285,2022-2023
Loyola (MD),33,13,20,0.394,-12.05,-6.14,,7,11,,9,6,,3,13,,2222,2331,,66.8,105.3,0.288,0.365,0.568,51.1,54.3,10.1,7.9,0.544,18.1,28.0,0.204,2022-2023
Loyola Marymount,31,19,12,0.613,4.98,4.32,,9,7,,13,3,,4,7,,2335,2265,,69.1,104.4,0.347,0.339,0.548,46.8,45.9,7.4,8.3,0.513,14.6,24.1,0.251,2022-2023
Maine,30,13,17,0.433,-8.88,-4.66,,7,9,,8,4,,5,12,,2054,2091,,67.0,102.7,0.280,0.366,0.552,52.7,52.0,8.6,8.4,0.525,18.1,28.7,0.200,2022-2023
Manhattan,30,12,18,0.400,-9.87,-4.94,,10,10,,5,9,,6,7,,2016,2112,,67.2,102.6,0.300,0.364,0.536,53.3,55.7,11.0,8.6,0.507,17.8,33.4,0.211,2022-2023
Marist,33,13,20,0.394,-8.44,-5.68,,6,14,,5,10,,4,9,,2110,2201,,65.5,101.4,0.284,0.376,0.512,51.1,48.7,8.8,8.4,0.479,14.5,28.9,0.204,2022-2023
Marquette NCAA,36,29,7,0.806,17.07,8.01,,17,3,,16,1,,9,4,,2856,2530,,69.3,100.0,0.291,0.375,0.538,52.7,58.1,8.1,9.4,0.510,19.5,31.7,0.205,2022-2023
Marshall,32,24,8,0.750,7.13,-2.84,,13,5,,15,2,,9,5,,2616,2281,,72.7,96.9,0.277,0.344,0.500,49.7,46.9,8.8,4.0,0.478,17.3,32.4,0.176,2022-2023
Maryland NCAA,35,22,13,0.629,14.58,8.35,,11,9,,16,1,,2,9,,2440,2222,,64.5,98.1,0.284,0.319,0.512,48.9,47.2,7.4,9.8,0.477,16.1,28.1,0.208,2022-2023
Maryland-Baltimore County,32,18,14,0.563,-6.22,-6.96,,8,8,,13,4,,5,10,,2378,2328,,68.4,106.0,0.259,0.383,0.551,50.5,50.8,7.6,7.8,0.525,14.9,26.6,0.188,2022-2023
Maryland-Eastern Shore,31,18,13,0.581,-7.63,-5.48,,9,5,,10,3,,7,9,,2162,2054,,71.4,92.4,0.334,0.365,0.530,51.7,53.1,9.3,9.1,0.494,23.3,30.2,0.238,2022-2023
Massachusetts,31,15,16,0.484,-1.34,0.30,,6,12,,8,6,,3,8,,2163,2214,,70.7,101.1,0.324,0.407,0.535,47.4,59.2,11.0,8.2,0.502,16.9,27.9,0.231,2022-2023
Massachusetts-Lowell,34,26,8,0.765,0.63,-8.53,,11,5,,17,0,,9,8,,2653,2243,,69.7,94.3,0.321,0.327,0.502,43.9,46.5,10.8,7.7,0.462,17.4,26.1,0.232,2022-2023
McNeese State,34,11,23,0.324,-13.63,-5.48,,6,12,,8,9,,3,14,,2352,2565,,67.9,109.9,0.344,0.389,0.574,49.4,62.3,10.2,7.1,0.545,16.6,30.9,0.245,2022-2023
Memphis NCAA,35,26,9,0.743,14.50,6.90,,13,5,,13,2,,7,5,,2778,2512,,72.2,98.3,0.344,0.429,0.511,49.6,55.4,9.9,9.5,0.467,17.8,32.6,0.254,2022-2023
Mercer,33,14,19,0.424,-5.11,-3.98,,6,12,,7,7,,4,10,,2268,2211,,65.5,101.1,0.354,0.339,0.526,48.2,45.7,8.6,5.9,0.486,15.7,27.4,0.257,2022-2023
Merrimack,34,18,16,0.529,-11.18,-9.12,,12,4,,10,6,,8,8,,2128,2119,,67.1,92.8,0.257,0.334,0.507,56.6,59.4,9.9,10.8,0.477,22.1,34.8,0.183,2022-2023
Miami (FL) NCAA,37,29,8,0.784,13.98,6.84,,15,5,,16,1,,7,4,,2925,2661,,68.9,104.0,0.240,0.385,0.539,48.0,54.4,8.5,8.6,0.512,15.8,28.8,0.178,2022-2023
Miami (OH),32,12,20,0.375,-7.46,-2.43,,6,12,,9,9,,3,9,,2357,2385,,69.4,107.0,0.360,0.365,0.560,51.5,49.8,11.1,8.3,0.525,16.7,31.1,0.262,2022-2023
Michigan,34,18,16,0.529,12.43,8.69,,11,9,,13,4,,3,8,,2494,2367,,67.4,101.0,0.258,0.338,0.507,49.0,45.2,7.7,7.1,0.479,12.6,25.8,0.180,2022-2023
Michigan State NCAA,34,21,13,0.618,14.25,11.25,,11,8,,12,2,,5,7,,2411,2309,,65.4,102.3,0.279,0.385,0.518,47.8,53.6,8.5,9.0,0.486,13.0,25.2,0.201,2022-2023
Middle Tennessee,33,19,14,0.576,2.95,2.08,,11,9,,12,2,,3,11,,2313,2236,,67.0,100.4,0.334,0.341,0.548,48.6,45.6,10.1,8.0,0.508,19.4,29.0,0.253,2022-2023
Milwaukee,34,22,12,0.647,-4.69,-3.98,,14,6,,15,3,,6,7,,2659,2522,,72.3,100.7,0.288,0.417,0.507,48.2,49.9,10.7,9.1,0.472,15.8,32.1,0.209,2022-2023
Minnesota,31,9,22,0.290,-0.30,7.86,,2,17,,6,11,,1,9,,1949,2202,,65.4,107.8,0.248,0.313,0.531,52.5,51.9,10.1,10.3,0.505,12.7,30.8,0.176,2022-2023
Mississippi,33,12,21,0.364,5.73,7.30,,3,15,,7,10,,2,9,,2227,2279,,66.6,103.3,0.303,0.344,0.532,48.9,56.0,10.6,7.4,0.495,15.7,29.9,0.226,2022-2023
Mississippi State NCAA,34,21,13,0.618,11.43,6.69,,8,10,,12,4,,4,6,,2234,2073,,64.9,92.6,0.276,0.438,0.496,46.9,58.2,9.6,8.1,0.462,18.9,28.6,0.197,2022-2023
Mississippi Valley State,32,5,27,0.156,-18.28,-4.56,,4,14,,4,6,,1,19,,1953,2392,,68.2,108.7,0.398,0.395,0.563,52.4,53.5,13.1,9.1,0.533,16.8,32.4,0.272,2022-2023
Missouri NCAA,35,25,10,0.714,11.41,6.89,,11,7,,16,3,,5,5,,2762,2604,,70.0,105.6,0.342,0.442,0.561,55.3,57.2,8.8,6.8,0.523,20.3,37.2,0.257,2022-2023
Missouri State,32,17,15,0.531,0.35,-1.00,,12,8,,10,4,,5,8,,2098,2021,,63.0,99.1,0.296,0.388,0.521,47.0,48.9,9.9,10.1,0.487,16.4,26.6,0.213,2022-2023
Monmouth,33,7,26,0.212,-15.64,-2.61,,5,13,,3,10,,3,15,,2036,2466,,68.4,109.2,0.388,0.460,0.577,52.4,55.9,10.1,9.4,0.544,18.2,32.9,0.279,2022-2023
Montana,31,17,14,0.548,-1.15,-1.85,,10,7,,9,4,,6,9,,2147,2114,,64.1,106.0,0.368,0.354,0.553,49.9,46.9,7.9,7.1,0.508,14.3,24.9,0.285,2022-2023
Montana State NCAA,35,25,10,0.714,2.18,-1.43,,15,3,,12,1,,10,5,,2588,2342,,67.9,97.8,0.347,0.347,0.533,48.2,39.5,8.2,5.7,0.491,17.9,24.0,0.260,2022-2023
Morehead State,34,22,12,0.647,-7.10,-5.07,,14,4,,14,2,,8,9,,2374,2266,,66.9,99.2,0.273,0.320,0.519,47.5,43.1,8.5,9.5,0.488,14.9,23.6,0.197,2022-2023
Morgan State,31,15,16,0.484,-11.58,-6.10,,8,7,,10,2,,3,12,,2323,2242,,73.8,96.8,0.395,0.335,0.526,52.4,55.6,11.2,8.9,0.492,21.6,36.1,0.267,2022-2023
Mount St. Mary's,33,13,20,0.394,-8.18,-4.02,,8,12,,5,9,,7,10,,2101,2212,,65.8,101.1,0.291,0.361,0.517,50.6,48.9,11.6,8.3,0.484,15.5,29.6,0.209,2022-2023
Murray State,32,17,15,0.531,-4.45,-1.61,,11,9,,11,2,,3,11,,2254,2305,,66.9,106.4,0.242,0.416,0.541,49.6,52.8,8.5,7.5,0.517,14.0,27.2,0.174,2022-2023
Navy,31,18,13,0.581,-2.79,-6.12,,11,7,,9,6,,9,7,,2152,2013,,64.9,99.2,0.295,0.387,0.524,48.6,55.0,8.8,8.5,0.501,17.3,27.7,0.193,2022-2023
NC State NCAA,34,23,11,0.676,12.50,5.58,,12,8,,15,2,,4,6,,2643,2408,,69.8,101.1,0.340,0.336,0.537,48.8,45.8,7.2,6.9,0.498,16.7,26.1,0.251,2022-2023
Nebraska,32,16,16,0.500,7.12,9.02,,9,11,,11,4,,4,9,,2175,2236,,67.2,102.3,0.219,0.436,0.521,50.7,59.6,9.8,12.1,0.499,15.3,28.3,0.152,2022-2023
Nevada NCAA,33,22,11,0.667,10.01,6.41,,12,6,,14,1,,6,7,,2397,2238,,66.4,100.2,0.314,0.424,0.530,50.1,53.9,7.5,8.4,0.495,16.4,24.6,0.229,2022-2023
Nevada-Las Vegas,32,19,13,0.594,7.20,5.17,,7,11,,10,8,,5,5,,2376,2241,,69.6,98.7,0.308,0.445,0.549,51.9,58.2,8.6,8.3,0.517,21.6,30.5,0.225,2022-2023
New Hampshire,30,15,15,0.500,-9.05,-5.70,,9,7,,11,4,,4,11,,1992,2011,,65.7,101.2,0.297,0.333,0.518,50.8,40.4,8.3,8.1,0.487,14.5,26.4,0.208,2022-2023
New Mexico,34,22,12,0.647,10.82,5.22,,8,10,,15,5,,5,6,,2749,2525,,72.0,102.0,0.289,0.386,0.529,48.6,52.6,8.1,6.7,0.501,15.3,27.0,0.201,2022-2023
New Mexico State,24,9,15,0.375,-1.56,2.45,,2,10,,6,4,,1,9,,1769,1720,,71.6,100.1,0.348,0.451,0.539,48.6,50.9,7.6,7.3,0.504,17.3,25.1,0.248,2022-2023
New Orleans,32,12,20,0.375,-14.23,-7.36,,7,11,,6,9,,4,10,,2340,2536,,72.5,108.5,0.383,0.364,0.577,51.3,49.4,12.0,6.4,0.540,18.1,32.6,0.285,2022-2023
Niagara,31,16,15,0.516,-6.78,-4.58,,10,10,,9,4,,4,10,,2016,2044,,63.7,102.8,0.332,0.306,0.530,50.1,43.9,8.3,10.3,0.494,14.8,28.0,0.240,2022-2023
Nicholls State,31,16,15,0.516,-8.54,-5.46,,11,7,,11,2,,4,12,,2344,2253,,72.7,99.9,0.456,0.386,0.555,50.9,59.1,8.5,7.7,0.510,21.3,30.9,0.329,2022-2023
NJIT,30,7,23,0.233,-12.57,-5.61,,4,12,,5,8,,2,15,,2008,2182,,66.6,107.5,0.278,0.386,0.539,52.2,49.1,7.7,8.8,0.516,13.0,28.7,0.187,2022-2023
Norfolk State,33,22,11,0.667,-3.72,-6.62,,9,5,,10,2,,6,8,,2501,2264,,68.1,99.9,0.374,0.473,0.525,46.5,62.0,9.6,7.3,0.490,17.5,29.5,0.256,2022-2023
North Alabama,33,18,15,0.545,-8.65,-3.95,,10,8,,9,4,,8,10,,2446,2452,,69.5,105.8,0.305,0.363,0.539,50.8,50.3,8.2,9.9,0.508,14.0,27.4,0.217,2022-2023
North Carolina,33,20,13,0.606,12.94,7.66,,11,9,,12,3,,4,7,,2514,2340,,69.3,100.3,0.263,0.320,0.516,46.4,42.0,8.1,9.1,0.487,13.2,23.3,0.186,2022-2023
North Carolina A&T,32,13,19,0.406,-11.40,-3.95,,8,10,,8,5,,4,10,,2264,2362,,70.7,103.6,0.289,0.374,0.528,52.5,48.9,7.1,7.9,0.496,15.0,30.0,0.210,2022-2023
North Carolina Central,30,18,12,0.600,-2.91,-6.10,,10,4,,13,1,,4,10,,2268,1977,,70.2,92.4,0.340,0.368,0.514,47.4,54.5,9.5,10.4,0.481,20.7,28.6,0.232,2022-2023
North Dakota,33,13,20,0.394,-7.60,-3.09,,6,12,,8,8,,4,11,,2380,2438,,68.2,107.5,0.268,0.317,0.555,51.3,39.7,8.8,8.7,0.526,14.1,26.7,0.200,2022-2023
North Dakota State,33,16,17,0.485,-4.56,-2.11,,11,7,,9,4,,5,10,,2404,2414,,69.3,105.6,0.267,0.358,0.534,47.9,42.8,9.4,7.4,0.501,11.5,22.9,0.201,2022-2023
North Florida,31,14,17,0.452,-6.75,-2.54,,9,9,,11,2,,3,14,,2363,2405,,69.1,110.5,0.234,0.290,0.540,52.2,52.3,10.0,9.5,0.515,12.4,32.0,0.171,2022-2023
North Texas,38,31,7,0.816,10.71,2.51,,16,4,,14,2,,10,3,,2452,2121,,59.5,92.6,0.402,0.353,0.489,46.5,42.0,9.0,7.1,0.444,17.6,28.2,0.276,2022-2023
Northeastern,30,10,20,0.333,-10.33,-3.96,,6,12,,6,6,,3,12,,1959,2150,,67.1,105.9,0.317,0.295,0.534,47.8,45.5,11.2,8.9,0.501,12.7,26.9,0.226,2022-2023
Northern Arizona,35,12,23,0.343,-3.87,-0.20,,5,13,,6,8,,3,13,,2581,2615,,68.0,108.3,0.383,0.385,0.577,50.0,52.4,7.1,8.6,0.540,15.8,25.1,0.284,2022-2023
Northern Colorado,32,12,20,0.375,-4.65,-0.65,,6,12,,6,7,,3,12,,2355,2480,,69.3,110.9,0.320,0.332,0.560,51.1,48.3,7.6,10.5,0.529,12.4,26.9,0.233,2022-2023
Northern Illinois,32,13,19,0.406,-6.55,-2.65,,9,9,,5,7,,7,10,,2304,2401,,70.9,105.4,0.357,0.368,0.542,53.2,48.5,9.4,8.5,0.510,16.3,32.5,0.247,2022-2023
Northern Iowa,32,14,18,0.438,-2.68,-1.07,,9,11,,8,8,,4,7,,2244,2238,,67.8,102.3,0.264,0.469,0.558,50.1,52.1,9.8,7.1,0.532,16.9,22.5,0.192,2022-2023
Northern Kentucky NCAA,35,22,13,0.629,-0.83,-2.89,,14,6,,14,3,,6,6,,2372,2224,,63.5,98.3,0.300,0.389,0.538,50.9,61.0,8.8,7.2,0.509,21.0,32.1,0.212,2022-2023
Northwestern NCAA,34,22,12,0.647,13.68,8.71,,12,8,,13,5,,7,4,,2303,2134,,65.0,95.9,0.316,0.419,0.515,50.4,61.3,6.9,9.7,0.484,18.6,27.7,0.216,2022-2023
Northwestern State,33,22,11,0.667,-4.72,-7.04,,13,5,,10,3,,10,7,,2463,2378,,68.4,104.5,0.382,0.338,0.553,51.4,52.2,8.0,8.5,0.510,18.5,33.8,0.287,2022-2023
Notre Dame,32,11,21,0.344,2.09,4.59,,3,17,,11,8,,0,10,,2227,2307,,65.4,109.8,0.265,0.361,0.550,53.6,50.7,7.3,9.9,0.521,12.0,26.5,0.198,2022-2023
Oakland,32,13,19,0.406,-8.06,-2.90,,11,9,,8,6,,5,10,,2347,2442,,69.0,108.5,0.227,0.395,0.566,54.6,61.7,8.1,8.3,0.541,16.9,32.7,0.172,2022-2023
Ohio,33,19,14,0.576,1.07,-2.68,,10,8,,14,1,,4,11,,2602,2413,,69.7,104.5,0.335,0.387,0.539,47.8,47.0,8.4,8.3,0.511,15.5,28.5,0.227,2022-2023
Ohio State,35,16,19,0.457,12.99,9.45,,5,15,,10,6,,1,10,,2538,2414,,65.9,103.9,0.281,0.367,0.521,48.0,49.1,7.1,7.1,0.489,13.7,28.6,0.203,2022-2023
Oklahoma,32,15,17,0.469,11.38,11.25,,5,13,,9,7,,2,8,,2165,2161,,66.4,100.9,0.301,0.307,0.512,50.0,42.9,10.6,9.9,0.480,13.6,27.2,0.211,2022-2023
Oklahoma State,36,20,16,0.556,12.62,10.18,,8,10,,12,6,,5,7,,2458,2370,,68.0,96.1,0.304,0.389,0.499,47.4,52.2,11.2,7.5,0.456,16.3,28.2,0.229,2022-2023
Old Dominion,31,19,12,0.613,-0.41,-0.64,,11,7,,12,4,,6,5,,2073,2052,,65.6,100.5,0.343,0.423,0.510,48.1,55.7,8.9,9.9,0.479,15.0,28.7,0.228,2022-2023
Omaha,32,9,23,0.281,-10.80,-1.83,,4,14,,5,7,,1,15,,2192,2438,,68.3,111.1,0.331,0.409,0.567,51.9,52.1,10.4,8.0,0.532,14.0,28.6,0.248,2022-2023
Oral Roberts NCAA,35,30,5,0.857,8.55,-2.84,,18,0,,16,0,,11,4,,2915,2458,,71.5,98.2,0.203,0.393,0.508,50.0,45.5,7.3,7.9,0.484,15.5,27.4,0.145,2022-2023
Oregon,36,21,15,0.583,13.83,9.50,,12,8,,15,6,,4,6,,2542,2386,,66.5,99.3,0.239,0.371,0.506,46.2,50.9,9.1,7.2,0.471,14.3,26.4,0.184,2022-2023
Oregon State,32,11,21,0.344,0.08,6.60,,5,15,,10,7,,1,10,,1959,2144,,65.1,102.9,0.340,0.382,0.529,51.9,58.0,10.0,9.9,0.492,15.7,30.1,0.246,2022-2023
Pacific,33,15,18,0.455,-0.56,2.05,,7,9,,7,10,,7,7,,2502,2565,,70.8,109.0,0.363,0.403,0.565,53.9,49.3,7.7,8.9,0.539,15.9,30.7,0.247,2022-2023
Penn State NCAA,37,23,14,0.622,13.04,9.02,,10,10,,13,4,,4,7,,2673,2524,,64.4,104.2,0.255,0.376,0.518,51.8,55.1,7.1,9.4,0.491,11.5,25.6,0.180,2022-2023
Pennsylvania,30,17,13,0.567,0.85,-1.11,,9,5,,11,4,,6,9,,2249,2160,,67.9,104.2,0.311,0.442,0.520,47.3,52.2,9.4,8.2,0.490,12.9,27.7,0.213,2022-2023
Pepperdine,31,9,22,0.290,-0.12,4.71,,2,14,,8,8,,0,12,,2417,2520,,73.9,108.2,0.320,0.340,0.549,50.9,48.0,9.6,5.4,0.521,14.1,29.3,0.225,2022-2023
Pittsburgh NCAA,36,24,12,0.667,10.59,5.20,,14,6,,14,3,,7,5,,2704,2510,,68.1,102.4,0.304,0.394,0.517,48.9,53.7,7.4,10.1,0.485,14.3,28.6,0.213,2022-2023
Portland,33,14,19,0.424,1.68,4.13,,5,11,,10,7,,2,10,,2566,2594,,71.1,109.7,0.280,0.436,0.560,51.9,50.9,8.7,6.0,0.538,14.8,30.0,0.192,2022-2023
Portland State,31,12,19,0.387,-5.17,-0.58,,6,11,,6,7,,5,9,,2363,2340,,72.3,104.4,0.455,0.339,0.576,53.3,54.0,7.1,5.9,0.532,19.6,29.9,0.338,2022-2023
Prairie View,32,13,19,0.406,-8.92,-6.58,,9,9,,9,3,,4,14,,2168,2196,,69.7,96.6,0.417,0.336,0.532,49.0,48.4,8.1,10.3,0.488,19.3,27.7,0.299,2022-2023
Presbyterian,32,5,27,0.156,-13.55,-5.02,,1,17,,5,9,,0,15,,2021,2223,,65.1,105.8,0.388,0.351,0.557,50.1,47.6,10.6,11.8,0.532,16.5,29.3,0.254,2022-2023
Princeton NCAA,32,23,9,0.719,4.76,-0.97,,10,4,,12,3,,7,4,,2416,2192,,69.0,98.1,0.280,0.332,0.508,45.8,43.7,8.8,9.5,0.479,13.5,22.2,0.193,2022-2023
Providence NCAA,33,21,12,0.636,12.89,6.55,,13,7,,15,2,,6,6,,2552,2343,,68.2,102.1,0.254,0.336,0.528,46.0,48.1,8.7,9.7,0.497,14.9,27.2,0.189,2022-2023
Purdue NCAA,35,29,6,0.829,18.23,8.31,,15,5,,14,2,,8,3,,2543,2196,,64.2,97.4,0.192,0.354,0.497,41.9,51.3,9.5,8.6,0.472,13.6,23.5,0.142,2022-2023
Purdue Fort Wayne,32,17,15,0.531,-5.46,-4.96,,9,11,,9,6,,7,8,,2364,2234,,70.4,98.8,0.227,0.395,0.528,49.3,46.6,9.4,10.2,0.503,16.4,25.0,0.163,2022-2023
Queens (NC),33,18,15,0.545,-4.16,-4.26,,7,11,,8,5,,7,10,,2564,2463,,71.0,105.2,0.251,0.362,0.546,47.5,47.9,9.0,12.0,0.521,14.2,25.4,0.180,2022-2023
Quinnipiac,32,20,12,0.625,-2.43,-5.20,,11,9,,9,4,,9,6,,2335,2231,,69.3,99.4,0.266,0.366,0.510,47.7,47.7,9.3,10.9,0.481,14.7,27.8,0.187,2022-2023
Radford,36,21,15,0.583,-1.86,-3.86,,12,6,,10,3,,7,10,,2496,2332,,64.9,99.5,0.311,0.371,0.538,48.4,47.6,8.6,7.0,0.511,18.2,27.5,0.212,2022-2023
Rhode Island,31,9,22,0.290,-4.16,0.49,,5,13,,7,9,,1,10,,2046,2190,,68.3,102.2,0.317,0.347,0.522,49.3,51.2,9.9,13.6,0.491,15.0,29.5,0.220,2022-2023
Rice,35,19,16,0.543,-1.95,1.40,,8,12,,11,7,,6,7,,2693,2680,,70.8,106.6,0.249,0.374,0.555,49.8,46.0,9.6,7.6,0.534,14.7,25.6,0.173,2022-2023
Richmond,33,15,18,0.455,1.43,0.34,,7,11,,12,4,,1,11,,2273,2237,,66.4,100.6,0.262,0.403,0.525,51.6,49.8,8.9,9.4,0.496,15.2,25.4,0.190,2022-2023
Rider,30,16,14,0.533,-3.49,-4.90,,13,7,,8,5,,8,6,,2105,2027,,65.1,102.6,0.380,0.430,0.528,46.6,52.8,9.1,7.5,0.501,14.8,28.0,0.245,2022-2023
Robert Morris,33,16,17,0.485,-5.83,-5.57,,10,10,,11,4,,5,10,,2287,2205,,67.4,98.8,0.306,0.323,0.526,49.2,44.0,10.0,7.4,0.490,17.2,27.7,0.224,2022-2023
Rutgers,34,19,15,0.559,14.58,7.31,,10,10,,14,6,,4,7,,2326,2079,,66.1,91.8,0.274,0.429,0.496,48.2,56.2,8.8,9.5,0.466,19.0,28.0,0.189,2022-2023
Sacramento State,32,14,18,0.438,-4.63,-1.60,,7,11,,9,4,,5,10,,2114,2169,,63.3,105.0,0.250,0.305,0.538,45.4,46.1,10.3,7.6,0.510,13.0,23.8,0.184,2022-2023
Sacred Heart,33,16,17,0.485,-12.78,-10.91,,8,8,,9,6,,7,11,,2332,2351,,70.4,100.5,0.270,0.369,0.528,51.0,53.2,10.5,7.9,0.501,17.2,30.3,0.189,2022-2023
Saint Francis (PA),31,13,18,0.419,-13.41,-9.27,,9,7,,10,5,,3,13,,2263,2286,,69.2,106.1,0.296,0.353,0.537,50.6,50.1,9.7,7.5,0.510,13.4,28.3,0.204,2022-2023
Saint Joseph's,33,16,17,0.485,-0.33,-0.30,,8,10,,10,6,,4,7,,2388,2389,,69.4,103.5,0.328,0.421,0.538,51.1,58.9,9.8,11.6,0.505,16.4,30.7,0.231,2022-2023
