School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
Cleveland State,36,21,15,0.583,-3.47,-4.44,,11,9,,14,3,,6,10,,2717,2622,,68.6,105.4,0.367,0.383,0.545,51.0,50.5,7.8,7.2,0.511,17.1,34.3,0.259,2023-2024
Coastal Carolina,31,9,22,0.290,-10.47,-2.88,,5,13,,7,12,,1,9,,2280,2434,,71.5,108.9,0.296,0.459,0.524,48.4,55.8,11.8,8.6,0.496,11.2,29.9,0.203,2023-2024
Colgate NCAA,35,25,10,0.714,-0.31,-5.55,,16,2,,13,3,,10,5,,2498,2242,,66.4,96.5,0.240,0.402,0.498,48.1,53.2,8.5,7.0,0.475,14.9,24.5,0.161,2023-2024
College of Charleston NCAA,35,27,8,0.771,4.09,-2.38,,15,3,,13,2,,10,2,,2832,2575,,70.4,104.2,0.288,0.371,0.536,46.9,43.3,8.7,9.5,0.508,14.4,25.9,0.203,2023-2024
Colorado NCAA,37,26,11,0.703,15.95,8.36,,13,7,,16,1,,4,7,,2935,2654,,69.0,102.9,0.273,0.352,0.526,45.0,43.7,10.5,9.2,0.497,13.4,24.8,0.194,2023-2024
Colorado State NCAA,36,25,11,0.694,13.40,7.28,,10,8,,15,2,,4,7,,2707,2422,,66.7,100.2,0.314,0.337,0.519,49.5,47.1,8.1,8.0,0.480,15.1,26.6,0.233,2023-2024
Columbia,27,13,14,0.481,-5.43,-3.72,,4,10,,9,6,,4,8,,2078,1956,,70.0,103.6,0.269,0.430,0.537,48.3,57.0,9.0,11.0,0.509,15.6,27.8,0.193,2023-2024
Connecticut NCAA,40,37,3,0.925,26.70,8.70,,18,2,,16,0,,9,3,,3256,2536,,66.0,96.0,0.311,0.329,0.485,43.7,44.7,8.1,8.3,0.444,13.9,26.7,0.226,2023-2024
Coppin State,29,2,27,0.069,-21.46,-6.49,,1,13,,2,8,,0,17,,1678,2112,,67.4,107.2,0.383,0.376,0.554,56.5,58.6,13.1,9.5,0.513,18.4,38.6,0.283,2023-2024
Cornell,30,22,8,0.733,3.58,-1.59,,11,3,,10,1,,10,6,,2463,2241,,71.9,103.9,0.320,0.416,0.532,50.1,53.3,9.3,9.4,0.510,16.0,30.9,0.206,2023-2024
Creighton NCAA,35,25,10,0.714,20.07,9.53,,14,6,,14,2,,8,5,,2815,2446,,67.6,100.9,0.160,0.279,0.489,46.9,41.3,8.7,9.1,0.463,9.6,24.9,0.126,2023-2024
Dartmouth,27,6,21,0.222,-13.99,-1.31,,2,12,,6,7,,0,14,,1670,1940,,66.3,108.4,0.230,0.425,0.552,51.1,53.0,11.6,9.3,0.531,12.5,24.0,0.162,2023-2024
Davidson,32,15,17,0.469,3.63,3.30,,5,13,,9,7,,4,8,,2242,2174,,65.9,101.5,0.323,0.420,0.524,50.4,53.2,9.3,9.8,0.493,15.3,27.5,0.222,2023-2024
