School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
Sacramento State,34,10,24,0.294,-10.87,-3.71,,4,14,,6,8,,2,13,,2282,2394,,65.5,107.4,0.320,0.388,0.560,45.0,52.0,11.4,9.5,0.531,14.1,24.6,0.229,2023-2024
Sacred Heart,32,16,16,0.500,-9.91,-9.45,,10,6,,11,5,,4,11,,2372,2313,,70.3,102.8,0.313,0.408,0.533,52.4,58.0,9.1,8.7,0.507,17.6,32.9,0.211,2023-2024
Saint Francis (PA),30,8,22,0.267,-18.60,-8.14,,3,13,,6,8,,2,14,,1955,2181,,66.7,108.6,0.357,0.380,0.553,49.7,52.0,10.4,11.2,0.522,15.3,31.1,0.250,2023-2024
Saint Joseph's,35,21,14,0.600,6.59,1.67,,9,9,,14,3,,3,10,,2641,2469,,68.6,102.1,0.288,0.425,0.522,49.5,54.8,10.0,13.0,0.490,15.3,29.2,0.207,2023-2024
Saint Louis,33,13,20,0.394,-1.57,4.15,,5,13,,8,8,,3,9,,2473,2620,,69.8,113.8,0.355,0.422,0.571,51.1,50.2,9.5,11.1,0.538,12.7,28.8,0.257,2023-2024
Saint Mary's (CA) NCAA,34,26,8,0.765,16.31,3.46,,15,1,,14,4,,9,0,,2516,2013,,63.8,92.2,0.327,0.296,0.485,41.2,47.2,8.3,7.6,0.443,15.1,22.1,0.235,2023-2024
Saint Peter's NCAA,33,19,14,0.576,-4.58,-5.33,,12,8,,8,5,,8,8,,2140,2113,,65.4,97.5,0.426,0.348,0.518,48.8,51.8,9.9,10.6,0.474,18.0,30.4,0.298,2023-2024
Sam Houston,33,21,12,0.636,-0.37,-1.72,,13,3,,12,2,,7,9,,2381,2282,,69.4,98.9,0.363,0.390,0.523,47.4,51.8,10.0,10.6,0.488,16.9,26.9,0.249,2023-2024
Samford NCAA,35,29,6,0.829,6.32,-3.23,,15,3,,18,0,,8,5,,3012,2607,,74.4,100.1,0.377,0.397,0.535,50.1,54.1,10.5,10.7,0.501,19.3,32.0,0.259,2023-2024
San Diego,33,18,15,0.545,-5.31,0.33,,7,9,,12,6,,4,7,,2392,2550,,72.0,107.4,0.381,0.400,0.556,52.3,62.3,10.4,8.9,0.523,16.1,31.4,0.267,2023-2024
San Diego State NCAA,37,26,11,0.703,14.68,8.37,,11,7,,14,1,,6,8,,2742,2467,,67.0,97.8,0.322,0.410,0.505,47.1,49.7,9.0,8.3,0.468,15.9,28.1,0.229,2023-2024
San Francisco,34,23,11,0.676,9.68,0.23,,11,5,,14,2,,6,6,,2643,2262,,68.5,96.5,0.377,0.381,0.529,47.1,48.6,7.9,5.7,0.491,18.1,24.0,0.264,2023-2024
San Jose State,32,9,23,0.281,-3.82,3.28,,2,16,,6,9,,1,12,,2228,2403,,66.4,112.1,0.356,0.354,0.570,53.8,54.4,7.2,8.4,0.542,14.0,29.5,0.248,2023-2024
Santa Clara,33,20,13,0.606,5.39,1.73,,10,6,,11,4,,5,6,,2538,2384,,69.8,103.1,0.334,0.369,0.519,45.1,48.8,10.0,6.8,0.483,12.8,25.9,0.236,2023-2024
Seattle,37,23,14,0.622,4.03,-1.64,,11,9,,14,4,,4,9,,2730,2471,,68.6,95.4,0.350,0.340,0.501,46.9,47.3,9.2,8.8,0.461,15.6,25.1,0.245,2023-2024
Seton Hall,37,25,12,0.676,12.67,8.80,,13,7,,17,3,,5,7,,2730,2587,,67.4,102.4,0.256,0.425,0.526,46.6,56.8,10.8,10.8,0.492,15.5,29.0,0.195,2023-2024
Siena,32,4,28,0.125,-19.20,-5.20,,3,17,,2,12,,2,13,,1934,2382,,67.1,110.9,0.280,0.341,0.547,49.3,50.1,13.5,9.3,0.518,12.7,31.2,0.203,2023-2024
South Alabama,32,16,16,0.500,-5.92,-3.37,,8,10,,11,6,,5,9,,2367,2421,,70.2,106.1,0.336,0.356,0.536,53.9,44.1,9.8,11.1,0.505,14.7,31.5,0.233,2023-2024
South Carolina NCAA,34,26,8,0.765,10.98,6.48,,13,5,,14,3,,8,3,,2450,2297,,64.8,103.5,0.316,0.313,0.522,47.9,47.6,8.9,13.5,0.484,13.1,27.9,0.232,2023-2024
South Carolina State,32,14,18,0.438,-11.85,-6.18,,9,5,,9,4,,5,13,,2245,2390,,70.3,105.4,0.481,0.375,0.566,47.2,56.9,11.6,9.3,0.516,18.7,30.5,0.358,2023-2024
South Carolina Upstate,30,10,20,0.333,-9.36,-3.02,,5,11,,6,7,,4,12,,2130,2188,,68.4,105.2,0.448,0.363,0.547,54.5,45.6,8.8,8.6,0.504,16.8,32.6,0.318,2023-2024
South Dakota,32,12,20,0.375,-12.55,-5.41,,5,11,,9,6,,2,12,,2434,2535,,69.8,111.7,0.260,0.386,0.547,47.9,46.8,9.3,8.7,0.520,10.8,27.6,0.189,2023-2024
South Dakota State NCAA,35,22,13,0.629,0.52,-2.70,,12,4,,11,3,,6,5,,2675,2490,,68.6,103.0,0.257,0.470,0.534,48.6,49.5,9.8,8.4,0.503,14.5,24.6,0.191,2023-2024
South Florida,33,25,8,0.758,7.37,0.97,,16,2,,15,3,,8,4,,2499,2288,,69.0,100.5,0.346,0.379,0.511,50.5,50.6,9.0,8.9,0.479,15.8,30.5,0.232,2023-2024
Southeast Missouri State,31,9,22,0.290,-18.25,-6.55,,4,14,,8,7,,1,14,,2078,2278,,70.4,104.0,0.425,0.301,0.547,53.2,48.3,9.4,8.5,0.509,15.8,28.1,0.297,2023-2024
Southeastern Louisiana,32,15,17,0.469,-11.31,-6.14,,10,8,,9,4,,6,10,,2209,2271,,66.9,105.2,0.301,0.445,0.537,49.0,60.5,10.5,9.0,0.505,15.3,30.3,0.220,2023-2024
Southern,32,18,14,0.563,-8.74,-6.09,,12,6,,11,2,,7,11,,2275,2198,,70.7,96.4,0.456,0.362,0.539,51.1,55.1,9.4,8.6,0.493,20.6,29.1,0.326,2023-2024
Southern California,33,15,18,0.455,9.36,9.54,,8,12,,9,6,,3,9,,2446,2452,,69.7,105.1,0.316,0.388,0.538,51.4,59.5,9.7,9.4,0.502,16.1,32.2,0.233,2023-2024
Southern Illinois,32,19,13,0.594,4.10,0.52,,11,9,,13,5,,5,6,,2325,2183,,65.4,102.6,0.357,0.307,0.534,49.2,44.4,8.8,11.7,0.498,14.5,25.3,0.253,2023-2024
SIU Edwardsville,33,17,16,0.515,-9.08,-7.54,,9,9,,12,2,,2,13,,2360,2314,,67.7,103.6,0.358,0.377,0.541,49.5,52.8,8.4,9.7,0.504,16.0,28.6,0.256,2023-2024
Southern Indiana,32,8,24,0.250,-13.63,-5.59,,5,13,,5,10,,3,13,,2195,2335,,69.7,104.3,0.464,0.369,0.537,50.3,50.9,9.5,9.2,0.485,15.0,28.0,0.340,2023-2024
Southern Methodist,33,20,13,0.606,10.22,2.56,,11,7,,14,3,,5,8,,2535,2271,,68.6,99.9,0.337,0.365,0.510,46.6,56.5,10.5,12.4,0.471,16.1,31.2,0.241,2023-2024
Southern Mississippi,32,16,16,0.500,-5.93,-2.93,,9,9,,11,3,,5,9,,2236,2273,,69.5,102.2,0.325,0.351,0.521,49.9,47.4,11.7,7.2,0.491,15.2,29.5,0.222,2023-2024
Southern Utah,31,10,21,0.323,-5.72,-1.17,,5,15,,6,8,,3,13,,2326,2406,,71.4,108.2,0.312,0.276,0.553,52.5,46.5,9.6,8.8,0.524,15.1,32.4,0.222,2023-2024
St. Bonaventure,33,20,13,0.606,6.77,1.95,,9,9,,11,4,,5,6,,2424,2265,,66.0,102.8,0.339,0.407,0.542,49.4,58.0,7.5,8.2,0.512,16.9,28.4,0.236,2023-2024
St. John's (NY),33,20,13,0.606,16.49,9.58,,11,9,,13,5,,5,6,,2602,2374,,69.6,103.4,0.344,0.359,0.536,46.4,53.9,9.1,7.6,0.496,16.1,30.4,0.256,2023-2024
St. Thomas,33,20,13,0.606,-0.92,-5.72,,9,7,,12,2,,6,9,,2402,2140,,63.9,101.0,0.288,0.392,0.542,50.0,49.2,7.6,7.9,0.512,16.7,25.0,0.208,2023-2024
Stanford,32,14,18,0.438,7.35,7.48,,8,12,,10,6,,3,8,,2443,2447,,70.9,106.2,0.253,0.376,0.541,51.0,46.0,9.6,7.9,0.519,13.7,27.3,0.173,2023-2024
Stephen F. Austin,33,18,15,0.545,-0.95,-1.76,,10,10,,10,5,,5,8,,2463,2353,,71.5,97.8,0.455,0.371,0.540,47.8,54.4,10.8,9.5,0.492,20.5,29.8,0.328,2023-2024
Stetson NCAA,35,22,13,0.629,-5.09,-3.24,,11,5,,14,2,,6,10,,2687,2566,,67.5,108.3,0.243,0.380,0.531,50.0,50.6,8.8,7.5,0.505,12.2,30.8,0.173,2023-2024
Stonehill,31,4,27,0.129,-20.10,-6.10,,2,14,,4,8,,0,19,,1967,2360,,69.2,109.6,0.292,0.462,0.553,54.3,60.4,11.3,13.5,0.523,14.7,31.2,0.213,2023-2024
Stony Brook,35,20,15,0.571,-2.59,-2.62,,10,8,,13,3,,4,11,,2573,2531,,67.5,104.9,0.270,0.419,0.522,50.4,57.2,8.7,6.6,0.496,13.2,28.9,0.187,2023-2024
Syracuse,32,20,12,0.625,8.53,9.40,,11,9,,14,2,,4,7,,2442,2420,,72.1,104.9,0.260,0.373,0.548,53.1,50.7,8.7,7.4,0.521,17.3,31.4,0.189,2023-2024
Tarleton State,35,25,10,0.714,1.40,-0.97,,16,4,,13,4,,10,5,,2593,2402,,68.4,100.0,0.339,0.363,0.529,50.6,48.4,8.3,8.6,0.497,18.1,32.0,0.235,2023-2024
TCU NCAA,34,21,13,0.618,14.62,7.32,,9,9,,12,4,,6,5,,2687,2439,,70.6,100.2,0.354,0.351,0.540,46.6,56.7,9.6,9.1,0.507,18.2,28.4,0.249,2023-2024
Temple,36,16,20,0.444,-1.26,1.68,,5,13,,5,9,,5,7,,2551,2624,,68.0,105.0,0.357,0.387,0.538,51.8,54.4,8.5,10.4,0.500,15.0,29.4,0.259,2023-2024
Tennessee NCAA,36,27,9,0.750,21.81,10.42,,14,4,,14,2,,8,3,,2836,2426,,70.3,95.9,0.357,0.411,0.496,47.6,48.9,8.9,7.7,0.453,16.1,28.2,0.253,2023-2024
Tennessee State,33,18,15,0.545,-9.64,-7.64,,10,8,,11,3,,5,10,,2400,2343,,69.8,101.3,0.410,0.337,0.524,50.6,48.0,9.9,10.4,0.477,16.5,31.3,0.296,2023-2024
Tennessee Tech,31,10,21,0.323,-15.04,-6.29,,5,13,,7,8,,3,13,,2089,2289,,67.6,108.4,0.229,0.370,0.553,53.8,54.3,10.0,9.2,0.524,13.5,27.3,0.178,2023-2024
Tennessee-Martin,32,21,11,0.656,-5.57,-7.25,,14,4,,12,2,,9,7,,2609,2455,,74.5,102.2,0.230,0.408,0.510,48.1,50.2,9.0,10.3,0.483,12.4,25.8,0.165,2023-2024
Texas NCAA,34,21,13,0.618,15.91,9.41,,9,9,,14,4,,4,6,,2563,2342,,68.2,100.6,0.340,0.328,0.520,49.6,47.5,9.2,8.9,0.481,16.3,30.1,0.245,2023-2024
Texas A&M NCAA,36,21,15,0.583,13.35,9.32,,9,9,,10,5,,6,6,,2736,2591,,67.8,105.5,0.319,0.449,0.537,44.0,59.5,7.8,13.3,0.505,14.5,28.0,0.228,2023-2024
Texas A&M-Corpus Christi,33,21,12,0.636,-4.45,-7.24,,14,4,,13,2,,8,7,,2480,2200,,71.2,93.3,0.464,0.369,0.514,45.5,50.4,9.6,9.4,0.462,18.7,23.9,0.329,2023-2024
Texas Southern,33,16,17,0.485,-9.09,-7.03,,12,6,,7,4,,6,11,,2316,2346,,69.5,101.8,0.394,0.363,0.525,50.8,53.1,9.5,9.3,0.483,15.8,31.0,0.280,2023-2024
Texas State,35,17,18,0.486,-3.71,-0.74,,7,11,,9,4,,5,11,,2445,2452,,68.4,101.7,0.371,0.352,0.534,48.7,47.6,11.0,8.9,0.493,16.5,29.3,0.269,2023-2024
Texas Tech NCAA,34,23,11,0.676,14.96,9.28,,11,7,,15,2,,4,6,,2561,2368,,67.2,103.3,0.272,0.386,0.522,49.1,47.1,8.8,10.3,0.492,14.6,30.3,0.194,2023-2024
Texas-Rio Grande Valley,31,6,25,0.194,-13.39,-0.90,,2,18,,5,9,,1,14,,2181,2473,,73.5,107.7,0.339,0.336,0.561,54.1,60.6,10.0,11.1,0.527,16.9,31.9,0.249,2023-2024
The Citadel,32,11,21,0.344,-6.53,-2.91,,3,15,,7,7,,2,13,,2260,2289,,67.0,106.4,0.224,0.399,0.551,48.6,54.3,9.8,10.6,0.528,14.6,26.1,0.163,2023-2024
Toledo,32,20,12,0.625,1.78,-2.09,,14,4,,12,3,,8,5,,2560,2436,,70.2,107.5,0.262,0.372,0.567,49.9,47.4,8.4,10.0,0.543,16.3,28.7,0.190,2023-2024
Towson,34,20,14,0.588,0.19,-2.27,,11,7,,12,2,,6,6,,2296,2164,,63.2,99.6,0.315,0.369,0.513,44.0,47.4,9.8,8.9,0.481,15.1,26.9,0.219,2023-2024
Troy,32,20,12,0.625,1.24,-3.17,,13,5,,15,2,,5,9,,2546,2261,,71.2,97.7,0.390,0.336,0.526,47.1,44.4,11.2,11.1,0.487,18.7,29.6,0.272,2023-2024
Tulane,31,14,17,0.452,3.65,2.68,,5,13,,11,6,,2,8,,2540,2481,,73.4,107.2,0.317,0.419,0.539,54.3,57.5,9.1,10.0,0.508,14.8,32.3,0.226,2023-2024
Tulsa,31,16,15,0.516,-1.20,-1.00,,7,11,,14,4,,2,9,,2325,2290,,71.4,102.3,0.352,0.385,0.524,51.9,52.4,9.8,7.1,0.490,15.5,30.3,0.244,2023-2024
UAB NCAA,35,23,12,0.657,5.14,3.73,,12,6,,12,5,,7,5,,2711,2627,,68.7,107.8,0.309,0.367,0.540,47.8,49.1,10.1,10.2,0.508,14.2,31.1,0.223,2023-2024
UC Davis,33,20,13,0.606,-1.33,-2.85,,14,6,,10,6,,8,6,,2351,2246,,68.1,99.2,0.379,0.333,0.528,50.3,48.3,9.9,8.3,0.484,18.4,30.4,0.277,2023-2024
UC Irvine,34,24,10,0.706,6.89,-0.93,,17,3,,13,0,,8,9,,2639,2321,,69.7,97.2,0.344,0.304,0.503,46.5,48.8,8.1,8.6,0.462,15.4,27.0,0.245,2023-2024
UC Riverside,34,16,18,0.471,-4.26,-1.23,,10,10,,10,5,,4,12,,2404,2448,,67.7,105.9,0.343,0.332,0.554,49.0,52.2,6.7,10.0,0.521,14.6,25.0,0.247,2023-2024
UC San Diego,33,21,12,0.636,2.04,-2.80,,15,5,,14,2,,7,8,,2530,2290,,66.9,102.5,0.282,0.363,0.528,49.5,49.2,6.8,10.5,0.498,15.0,27.4,0.201,2023-2024
UC Santa Barbara,31,16,15,0.516,-3.19,-3.01,,9,11,,9,7,,6,7,,2337,2280,,69.0,105.8,0.296,0.340,0.534,47.9,45.0,9.9,7.0,0.509,12.7,26.0,0.201,2023-2024
UCF,33,17,16,0.515,11.92,8.17,,7,11,,11,8,,3,7,,2366,2242,,69.3,97.6,0.395,0.396,0.524,47.8,57.6,9.8,9.1,0.479,18.0,26.9,0.288,2023-2024
UCLA,33,16,17,0.485,7.50,7.84,,10,10,,9,7,,5,6,,2177,2160,,64.8,101.1,0.353,0.428,0.530,49.1,50.2,8.5,6.8,0.495,16.0,27.8,0.246,2023-2024
UNC Asheville,34,22,12,0.647,-1.92,-2.99,,12,4,,12,2,,5,7,,2682,2485,,70.3,102.8,0.327,0.363,0.524,50.5,47.3,8.7,8.7,0.489,15.5,31.0,0.232,2023-2024
UNC Greensboro,32,21,11,0.656,-0.27,-2.90,,12,6,,11,3,,7,7,,2422,2233,,66.9,103.4,0.348,0.440,0.525,48.9,47.8,8.6,8.0,0.483,14.8,28.8,0.257,2023-2024
UNC Wilmington,31,21,10,0.677,1.21,-2.90,,12,6,,10,2,,10,6,,2461,2202,,66.6,105.0,0.318,0.366,0.543,50.2,43.4,5.9,7.4,0.514,15.9,30.4,0.222,2023-2024
UT Arlington,34,20,14,0.588,2.38,0.69,,13,7,,12,3,,5,10,,2614,2492,,71.9,101.5,0.411,0.352,0.532,47.3,55.0,10.4,10.8,0.483,16.6,29.1,0.304,2023-2024
Utah,37,22,15,0.595,15.00,9.41,,9,11,,17,2,,2,9,,2915,2708,,70.9,102.2,0.259,0.364,0.514,48.3,51.3,8.9,8.6,0.488,12.5,25.8,0.178,2023-2024
Utah State NCAA,35,28,7,0.800,11.56,5.29,,14,4,,14,1,,8,4,,2788,2497,,69.3,101.5,0.306,0.365,0.527,48.0,50.3,9.1,6.2,0.491,15.0,26.4,0.224,2023-2024
Utah Tech,31,11,20,0.355,-8.08,-1.18,,7,13,,6,7,,5,13,,2194,2389,,71.9,106.3,0.423,0.368,0.547,51.3,52.4,12.1,9.9,0.503,16.0,31.5,0.307,2023-2024
Utah Valley,32,16,16,0.500,-1.33,-0.03,,11,9,,10,4,,5,10,,2199,2195,,69.2,98.4,0.350,0.343,0.513,49.3,57.9,10.1,9.0,0.477,16.1,26.7,0.243,2023-2024
UTEP,34,18,16,0.529,-1.49,-1.30,,7,9,,13,5,,2,9,,2470,2348,,71.4,96.0,0.448,0.344,0.548,51.0,46.9,10.4,9.4,0.506,22.9,30.6,0.316,2023-2024
UTSA,32,11,21,0.344,-5.26,-0.71,,5,13,,7,9,,4,11,,2483,2591,,71.3,111.8,0.344,0.375,0.548,48.6,52.5,8.4,12.9,0.516,11.4,28.6,0.244,2023-2024
Valparaiso,32,7,25,0.219,-8.25,1.17,,3,17,,6,11,,1,13,,2163,2416,,69.3,109.0,0.305,0.353,0.564,53.7,54.5,9.2,6.5,0.540,15.6,30.2,0.212,2023-2024
Vanderbilt,32,9,23,0.281,0.19,8.16,,4,14,,8,10,,1,9,,2173,2428,,67.8,111.4,0.295,0.396,0.566,51.9,55.1,8.3,9.8,0.530,13.9,29.3,0.231,2023-2024
Vermont NCAA,35,28,7,0.800,2.78,-3.31,,15,1,,16,1,,10,4,,2506,2205,,65.4,96.0,0.263,0.358,0.495,49.4,42.9,7.8,10.3,0.462,13.6,23.4,0.188,2023-2024
Villanova,34,18,16,0.529,14.44,9.82,,10,10,,10,6,,4,8,,2388,2231,,64.3,99.8,0.260,0.453,0.515,49.4,57.2,8.4,13.3,0.483,14.3,24.3,0.192,2023-2024
Virginia NCAA,34,23,11,0.676,10.45,7.31,,13,7,,15,2,,5,6,,2140,2033,,61.2,96.6,0.258,0.396,0.502,51.6,52.0,8.1,8.5,0.466,16.8,28.1,0.193,2023-2024
Virginia Commonwealth,38,24,14,0.632,8.70,4.41,,11,7,,13,6,,7,5,,2697,2534,,66.2,100.1,0.341,0.389,0.510,48.5,49.2,10.7,7.5,0.468,14.6,26.9,0.250,2023-2024
VMI,32,4,28,0.125,-20.65,-2.44,,1,17,,4,10,,0,15,,2204,2644,,74.6,110.3,0.300,0.392,0.553,51.7,50.7,12.2,8.0,0.533,13.6,29.3,0.197,2023-2024
Virginia Tech,34,19,15,0.559,11.91,7.97,,10,10,,15,2,,2,10,,2547,2413,,68.1,104.2,0.302,0.339,0.543,49.6,49.3,9.4,9.3,0.510,15.0,26.2,0.222,2023-2024
Wagner NCAA,33,17,16,0.515,-10.64,-8.58,,7,9,,7,5,,9,10,,2103,2083,,63.0,99.0,0.294,0.407,0.512,49.6,59.0,7.5,8.9,0.483,15.3,26.9,0.201,2023-2024
Wake Forest,35,21,14,0.600,14.94,7.52,,11,9,,17,2,,2,9,,2733,2473,,68.8,101.9,0.301,0.355,0.529,48.8,42.7,8.4,9.5,0.491,14.5,25.8,0.226,2023-2024
Washington,32,17,15,0.531,11.85,8.38,,9,11,,11,6,,5,6,,2579,2468,,72.0,105.1,0.331,0.348,0.532,50.1,51.4,8.8,8.9,0.501,13.8,28.9,0.230,2023-2024
Washington State NCAA,35,25,10,0.714,14.02,7.19,,14,6,,15,2,,6,4,,2574,2335,,66.4,99.7,0.323,0.311,0.511,45.7,45.6,8.4,6.6,0.472,13.8,25.0,0.236,2023-2024
Weber State,32,20,12,0.625,-0.49,-4.15,,11,7,,12,2,,7,7,,2414,2161,,66.8,100.3,0.278,0.365,0.548,50.1,51.2,7.6,8.1,0.522,17.0,23.2,0.197,2023-2024
West Virginia,32,9,23,0.281,3.73,10.76,,4,14,,9,9,,0,9,,2234,2459,,68.7,111.0,0.281,0.430,0.551,51.5,56.7,10.9,11.1,0.521,13.0,30.4,0.207,2023-2024
Western Carolina,32,22,10,0.688,1.96,-3.35,,11,7,,12,3,,10,6,,2459,2198,,68.6,98.9,0.308,0.316,0.496,46.6,36.2,7.6,7.0,0.460,12.3,24.6,0.217,2023-2024
Western Illinois,33,21,12,0.636,-8.75,-7.37,,13,5,,10,5,,10,6,,2272,2167,,66.9,97.4,0.235,0.310,0.483,44.5,43.2,11.0,8.1,0.452,13.0,27.4,0.170,2023-2024
Western Kentucky NCAA,34,22,12,0.647,1.19,-2.91,,8,8,,12,2,,6,7,,2728,2531,,76.0,97.9,0.320,0.409,0.512,47.8,49.9,9.6,10.1,0.480,16.3,26.6,0.221,2023-2024
Western Michigan,32,12,20,0.375,-9.30,-3.79,,9,9,,7,7,,3,12,,2281,2396,,68.6,107.8,0.309,0.381,0.541,48.2,51.3,9.9,6.2,0.509,13.7,29.7,0.223,2023-2024
Wichita State,34,15,19,0.441,2.02,3.20,,5,13,,10,5,,2,10,,2475,2484,,69.5,104.4,0.278,0.381,0.516,47.4,52.6,11.4,9.3,0.483,12.6,28.3,0.202,2023-2024
William & Mary,33,10,23,0.303,-11.33,-5.55,,4,14,,7,7,,2,13,,2305,2380,,66.7,107.8,0.338,0.368,0.543,50.7,46.1,8.6,12.9,0.505,12.8,28.1,0.249,2023-2024
Winthrop,32,17,15,0.531,-1.97,-3.42,,8,8,,11,5,,6,9,,2475,2287,,68.3,102.3,0.332,0.426,0.530,49.0,48.9,9.8,11.7,0.488,16.5,31.0,0.250,2023-2024
Wisconsin NCAA,36,22,14,0.611,16.01,11.35,,11,9,,14,3,,3,9,,2688,2520,,66.0,105.0,0.338,0.343,0.554,47.6,47.3,7.5,10.8,0.520,15.1,24.4,0.245,2023-2024
Wofford,32,17,15,0.531,-3.87,-1.60,,10,8,,11,2,,6,9,,2384,2362,,67.5,107.7,0.328,0.427,0.545,47.0,50.1,9.5,8.4,0.508,12.3,24.6,0.244,2023-2024
Wright State,32,18,14,0.563,-0.22,-3.62,,13,7,,9,7,,7,6,,2767,2599,,72.6,110.6,0.292,0.378,0.568,48.4,45.0,10.0,6.2,0.542,14.6,27.9,0.208,2023-2024
Wyoming,32,15,17,0.469,0.54,4.57,,8,10,,9,5,,3,10,,2331,2383,,67.9,108.8,0.271,0.401,0.551,49.2,48.5,11.9,11.1,0.522,14.3,28.8,0.201,2023-2024
Xavier,34,16,18,0.471,12.23,11.03,,9,11,,11,7,,3,9,,2579,2538,,71.5,104.4,0.297,0.354,0.527,48.5,59.6,8.8,11.4,0.495,13.9,28.9,0.211,2023-2024
Yale NCAA,33,23,10,0.697,4.63,0.41,,11,3,,9,2,,9,6,,2465,2226,,66.1,100.5,0.279,0.419,0.525,47.2,57.2,8.2,8.7,0.491,14.7,23.7,0.206,2023-2024
Youngstown State,32,22,10,0.688,0.97,-5.11,,14,6,,14,3,,8,7,,2598,2269,,70.8,99.4,0.282,0.367,0.509,46.2,54.8,8.4,7.7,0.479,14.7,27.9,0.197,2023-2024
