School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Holy Cross NCAA,2000-2001,30,22,8,0.733,-0.31,-5.84,,10,2,,13,1,,9,6,,2034,1868,,66.8,101.1,0.654,0.270,0.540,55.6,60.2,9.3,14.3,0.493,21.4,39.9,0.430
Houston,2000-2001,29,9,20,0.310,-1.33,4.91,,6,10,,6,7,,1,12,,1897,2078,,,95.5,0.471,0.233,0.500,51.6,49.8,8.3,6.7,0.450,19.6,36.4,0.325
Howard,2000-2001,28,10,18,0.357,-19.91,-10.37,,8,10,,6,4,,4,12,,1914,2181,,71.8,94.8,0.421,0.339,0.499,43.8,52.8,9.8,4.3,0.449,18.0,30.0,0.300
Idaho,2000-2001,27,6,21,0.222,-12.17,-0.01,,3,13,,5,9,,1,12,,1720,1992,,69.4,90.2,0.397,0.329,0.471,46.3,50.7,9.9,6.1,0.432,17.8,29.5,0.255
Idaho State,2000-2001,28,14,14,0.500,-2.10,-1.41,,10,6,,8,6,,5,6,,2074,2044,,68.3,106.0,0.353,0.378,0.560,49.4,60.9,7.4,7.5,0.521,17.6,30.7,0.266
Illinois NCAA,2000-2001,35,27,8,0.771,23.32,11.38,,13,3,,12,0,,7,4,,2725,2307,,71.0,108.4,0.430,0.331,0.553,54.8,59.2,10.7,11.6,0.514,17.5,38.4,0.303
Illinois State,2000-2001,30,21,9,0.700,5.97,0.57,,12,6,,13,2,,7,6,,2257,2095,,70.3,105.7,0.473,0.255,0.557,49.4,54.3,11.5,7.6,0.510,17.0,30.2,0.344
Illinois-Chicago,2000-2001,28,11,17,0.393,-0.06,3.55,,5,9,,9,6,,2,10,,1901,2002,,68.0,97.6,0.410,0.219,0.478,49.8,58.1,8.5,5.9,0.437,15.0,35.3,0.268
Indiana NCAA,2000-2001,34,21,13,0.618,17.58,11.05,,10,6,,13,2,,4,6,,2408,2186,,69.8,100.8,0.424,0.264,0.529,51.4,59.8,9.7,12.8,0.500,17.9,31.5,0.270
Indiana State NCAA,2000-2001,34,22,12,0.647,6.97,2.51,,10,8,,12,2,,5,8,,2479,2305,,66.8,108.0,0.412,0.317,0.554,47.7,60.5,10.3,7.1,0.517,15.2,29.2,0.291
Iona NCAA,2000-2001,33,22,11,0.667,0.25,-4.10,,12,6,,12,2,,8,6,,2549,2375,,74.4,103.1,0.434,0.219,0.557,51.4,52.7,10.5,13.0,0.523,19.6,33.5,0.299
Iowa NCAA,2000-2001,35,23,12,0.657,14.25,10.71,,7,9,,12,4,,5,6,,2593,2469,,69.1,106.1,0.564,0.302,0.540,54.7,58.2,7.8,6.6,0.485,17.8,38.6,0.397
Iowa State NCAA,2000-2001,31,25,6,0.806,15.90,4.87,,13,3,,16,0,,6,4,,2451,2115,,70.4,109.6,0.493,0.251,0.572,56.3,52.1,8.5,8.1,0.527,17.9,36.2,0.359
IU Indy,2000-2001,29,11,18,0.379,-5.23,-3.34,,6,10,,7,6,,3,11,,2057,2008,,,102.8,0.464,0.243,0.520,50.8,48.8,11.0,8.8,0.473,17.5,36.5,0.325
Jackson State,2000-2001,30,7,23,0.233,-18.44,-10.44,,7,11,,4,5,,3,16,,2012,2247,,,92.2,0.352,0.203,0.480,49.5,47.4,8.8,5.3,0.445,19.6,35.9,0.232
